rule_id, collapses, edges_approx, total_cost, rule_details
1, 3, 0, 35678, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
62, 3, 0, 35603, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  1249)  (1249  1988)  (2479  1748)  (2479  1988)]
1, 35, 0, 35090, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
286, 9, 0, 34882, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1871)  ('type_1'  'type_1')  ('type_1'  1871)  (1622  1448)  (1871  1448)  (1809  1622)]
13, 33, 0, 34430, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1478)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
14, 2, 0, 34384, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
1, 81, 66, 33379, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
14, 3, 0, 33304, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
98, 70, 33, 32396, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1617)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  2580)]
12, 26, 14, 32060, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
14, 3, 0, 31985, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
1, 12, 1, 31820, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
62, 2, 0, 31774, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  1249)  (1249  1988)  (2479  1748)  (2479  1988)]
100, 73, 39, 30839, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
92, 54, 33, 30171, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2964)  ('type_1'  'type_1')  ('type_1'  970)  (970  1096)  (1096  2964)]
69, 2, 0, 30125, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  2479)  (1249  1988)  (2479  1748)  (2479  1988)]
12, 8, 0, 30017, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
57, 28, 6, 29658, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  2479)  (1249  1988)  (2479  1988)]
4, 3, 0, 29583, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2348)  ('type_1'  'type_1')  ('type_1'  2097)  (1376  994)  (2348  1376)  (2097  2348)]
2, 92, 68, 28450, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2348)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
62, 2, 0, 28404, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  1249)  (1249  1988)  (2479  1748)  (2479  1988)]
69, 2, 0, 28358, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  2479)  (1249  1988)  (2479  1748)  (2479  1988)]
1, 7, 0, 28265, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  2348)  (1376  994)  (2348  1376)]
98, 6, 0, 28187, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1617)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  2580)]
13, 6, 0, 28109, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1478)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
92, 6, 0, 28031, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2964)  ('type_1'  'type_1')  ('type_1'  970)  (970  1096)  (1096  2964)]
